"dorc gene","#associated regions"
"CLIC4",8
"CNTFR",8
"CRB2",8
"CREB3L2",8
"CRYL1",8
"CTSA",8
"CYTH1",8
"DCLK2",8
"DEGS2",8
"DOT1L",8
"ECE1",8
"EEPD1",8
"EFNA1",8
"EPHB2",8
"ETV7",8
"FAAP24",8
"FAHD2A",8
"FAM110C",8
"FOXA2",8
"FOXA3",8
"FSTL1",8
"GALR1",8
"GATM",8
"GK",8
"GNG2",8
"GSTA1",8
"GXYLT1",8
"HAVCR1",8
"HOXD8",8
"HPS5",8
"IGSF23",8
"ITM2B",8
"KCNJ13",8
"KCP",8
"KIAA0040",8
"KIAA1671",8
"KREMEN2",8
"KRT80",8
"LASP1",8
"LINC00243",8
"LINC00702",8
"LIPA",8
"LPAR1",8
"MEP1A",8
"MFN2",8
"MFSD2A",8
"MISP",8
"MKRN1",8
"MYO5C",8
"MYOM3",8
"MYRIP",8
"NECTIN2",8
"NPY1R",8
"PCED1B",8
"PCMTD2",8
"PEPD",8
"PHYHIPL",8
"PPP1R14C",8
"PROX1",8
"PTPRE",8
"PXDN",8
"RAB11FIP1",8
"RARG",8
"RASGRF2",8
"RBM38",8
"RET",8
"RGS9",8
"RIMBP2",8
"RNF121",8
"SEMA6A",8
"SERINC2",8
"SGK2",8
"SGSM3",8
"SLC16A9",8
"SLC19A1",8
"SLC22A31",8
"SLC26A2",8
"SLC28A3",8
"SLC2A1",8
"SLC46A3",8
"SLC52A3",8
"SLC5A10",8
"SLC5A9",8
"SLC6A4",8
"SLC6A6",8
"SLC7A5",8
"SMPD3",8
"SPINK4",8
"SRL",8
"SSBP3",8
"ST3GAL2",8
"STK24",8
"STXBP1",8
"SUCO",8
"TK1",8
"TM4SF1",8
"TM4SF4",8
"TPSG1",8
"TRIM31-AS1",8
"TRIM9",8
"TSPAN3",8
"TTYH3",8
"TUBB2A",8
"TXNDC5",8
"UBE2F",8
"UPP1",8
"WNT9A",8
"AADAC",7
"ABCG1",7
"ACAA1",7
"ACKR3",7
"ACOT7",7
"ACTG1",7
"ADAMTS1",7
"ADGRB2",7
"ADGRG6",7
"ADRA2A",7
"AK2",7
"ALDH1B1",7
"ANO6",7
"ARFGAP3",7
"ARHGDIG",7
"ATP11A",7
"B3GALT5-AS1",7
"B4GALT1",7
"BAIAP2L2",7
"BPNT1",7
"C1orf105",7
"CA13",7
"CACNA2D2",7
"CATSPERB",7
"CCNJL",7
"CCNYL1",7
"CDH17",7
"CDYL2",7
"CEACAM3",7
"CENPJ",7
"CHGA",7
"CHMP1B",7
"CKAP4",7
"CLSTN1",7
"CNGA3",7
"CNN3",7
"COLCA2",7
"CORO2A",7
"CPA6",7
"CPNE5",7
"CREB3L1",7
"CXXC4",7
"DDIT4",7
"DENND5B-AS1",7
"DMRT2",7
"EPHB1",7
"ERICH4",7
"EVA1A",7
"FA2H",7
"FAM151A",7
"FAM181B",7
"FAM20C",7
"FAM3C",7
"FAM71A",7
"FGF19",7
"FMO4",7
"FOSB",7
"FOXO6",7
"FOXP1",7
"FOXP4",7
"FOXQ1",7
"FSCN1",7
"G6PC",7
"GATA4",7
"GDF15",7
"GLRX",7
"GLYCTK",7
"GREB1L",7
"GRIK4",7
"GSN-AS1",7
"GXYLT2",7
"HAUS8",7
"HIPK2",7
"HMOX1",7
"HRH2",7
"HSD3B1",7
"HSPA1A",7
"IDNK",7
"IFNGR2",7
"IL1R2",7
"IL22RA1",7
"IL6R",7
"KCTD5",7
"KIFC3",7
"KLHL6-AS1",7
"LGALSL",7
"LGMN",7
"LINC00501",7
"LINC00955",7
"LINC01094",7
"LINC01358",7
"LINC01588",7
"LITAF",7
"LRRC75B",7
"LSMEM2",7
"LURAP1",7
"LURAP1L-AS1",7
"MAPKBP1",7
"MAPRE3",7
"MARCH4",7
"MFSD4A",7
"MGLL",7
"MMP20",7
"MSX2",7
"MTTP",7
"MUC3A",7
"MXI1",7
"NADK",7
"NAMPT",7
"NCALD",7
"NTN4",7
"OTUD1",7
"PAFAH1B1",7
"PCSK1",7
"PDE6A",7
"PLCB3",7
"PLCL2",7
"PLEKHA1",7
"PLEKHA2",7
"PLIN2",7
"POPDC3",7
"PRR5L",7
"R3HDM4",7
"RAB30",7
"RAPGEF4",7
"REEP6",7
"RETNLB",7
"RHEB",7
"RHOBTB1",7
"RNASE1",7
"RNF125",7
"S100A9",7
"SAA2",7
"SCNN1A",7
"SDC4",7
"SEMA3F",7
"SERPINB6",7
"SH3BP4",7
"SH3GL1",7
"SHH",7
"SLC12A8",7
"SLC25A42",7
"SLC2A10",7
"SLC7A11",7
"SLC8A1",7
"SLC9A1",7
"SLCO3A1",7
"SLCO4A1",7
"SMAD3",7
"SMIM24",7
"SOCS3",7
"STOX2",7
"STRADB",7
"TARID",7
"TBC1D22B",7
"TM6SF2",7
"TMEM120A",7
"TMEM245",7
"TMEM255B",7
"TMEM37",7
"TMEM41A",7
"TMEM61",7
"TNIP1",7
"TOX2",7
"TRABD2B",7
"TSNAXIP1",7
"UPK3A",7
"USP2",7
"VANGL1",7
"VAV2",7
"VDR",7
"VKORC1",7
"WEE1",7
"WNK4",7
"XIAP",7
"ZFYVE26",7
"ZNF664",7
